collection,resource,theme_en,theme_es,indicator,label_en,label_es,description_en,description_es,valuetype
Household Socio-Economic Surveys,Household Survey Indicators,demography,demografia,urbano_ci,Percentage of population residing in urban areas,Porcentaje de la población que reside en zonas urbanas,Percentage population residing in urban areas,Porcentaje de individuos en la zonas urbana,pct
Household Socio-Economic Surveys,Household Survey Indicators,demography,demografia,unip_ch,"
Percentage of single-person households",Porcentaje de hogares unipersonales ,Percentage of households made up of the head of household and no other members. (Note: Domestic workers are not members of the household).,Porcentaje de hogares formados por el jefe de hogar y ningún otro miembro. (Nota: Los trabajadores domésticos no son considerados como miembros del hogar).,pct
Household Socio-Economic Surveys,Household Survey Indicators,demography,demografia,union_ci,Percentage of population in cohabitation or legal marriage.,Porcentaje de personas en unión formal o informal,Percentage of the population that reports being formally married (civil or religious unions) or informally living with their partner.,Porcentaje de la población que reporta estar formalmente casado (uniones civiles o religiosas) o informalmente conviviendo con su pareja.,pct
Household Socio-Economic Surveys,Household Survey Indicators,demography,demografia,tamh_ch,Average household size,Tamaño promedio del hogar,Number of household members.,Número de miembros del hogar,dispersion
Household Socio-Economic Surveys,Household Survey Indicators,demography,demografia,rural_ci,Percentage of population residing in rural areas,Porcentaje de la población que reside en zonas rurales,Percentage population residing in rural areas,Porcentaje de individuos en la zonas rurales,pct
Household Socio-Economic Surveys,Household Survey Indicators,demography,demografia,prangoedad_91mas,Percentage of population 91+ years old,Porcentaje de la población de 91+ años de edad,Percentage of population 91 years of age or older,Porcentaje de la población de 91 años de edad o más,pct
Household Socio-Economic Surveys,Household Survey Indicators,demography,demografia,prangoedad_76_90,Percentage of population 76-90 years old,Porcentaje de la población de 76-90 años de edad,Percentage of population 76 to 90 years of age,Porcentaje de la población de 76 a 90 años de edad,pct
Household Socio-Economic Surveys,Household Survey Indicators,demography,demografia,prangoedad_61_75,Percentage of population 61-75 years old,Porcentaje de la población de 61-75 años de edad,Percentage of population 61 to 75 years of age,Porcentaje de la población de 61 a 75 años de edad,pct
Household Socio-Economic Surveys,Household Survey Indicators,demography,demografia,prangoedad_46_60,Percentage of population 46-60 years old,Porcentaje de la población de 46-60 años de edad,Percentage of population 46 to 60 years of age,Porcentaje de la población de 46 a 60 años de edad,pct
Household Socio-Economic Surveys,Household Survey Indicators,demography,demografia,prangoedad_31_45,Percentage of population 31-45 years old,Porcentaje de la población de 31-45 años de edad,Percentage of population 31 to 45 years of age,Porcentaje de la población de 31 a 45 años de edad,pct
Household Socio-Economic Surveys,Household Survey Indicators,demography,demografia,prangoedad_16_30,Percentage of population 16-30 years old,Porcentaje de la población de 16-30 años de edad,Percentage of population 15 to 30 years of age,Porcentaje de la población de 15 a 30 años de edad,pct
Household Socio-Economic Surveys,Household Survey Indicators,demography,demografia,prangoedad_00_15,Percentage of population 0-15 years old,Porcentaje de la población de 0-15 años de edad,Percentage of population under 15 years of age,Porcentaje de la población menor de 15 años de edad,pct
Household Socio-Economic Surveys,Household Survey Indicators,demography,demografia,pobfem_ci,Percentage of women,Porcentaje de mujeres ,Percentage of women,Porcentaje de mujeres ,pct
Household Socio-Economic Surveys,Household Survey Indicators,demography,demografia,pobedad_ci,The median age of the population,Edad mediana de la población,The median age of the population in years.,Edad mediana de la población en años,dispersion
Household Socio-Economic Surveys,Household Survey Indicators,demography,demografia,pob65_ci,Percentage of population 65 years of age or older,Porcentaje de la población de 65 años de edad o más,Percentage population 65 years of age or older,Porcentaje de la población de 65 años de edad o más,pct
Household Socio-Economic Surveys,Household Survey Indicators,demography,demografia,pob18_ci,Percentage of the population under 18 years of age,Porcentaje de la población menor de 18 años,Percentage of the population under 18 years of age,Porcentaje de la población menor de 18 años,pct
Household Socio-Economic Surveys,Household Survey Indicators,demography,demografia,nucl_ch,Percentage of nuclear households,Porcentaje de hogares nucleares,"Percentage of households made up of head-of-household and his partner, head-of-household and a child, or some combination of the two above. A necessary condition is that NO other relatives or other members of the household are present.","Porcentaje de hogares conformados por el jefe de hogar y su pareja, o el jefe de hogar y un hijo, o alguna combinación de los dos anteriores. Una condición necesaria es que NO estén presentes otros familiares u otros miembros del hogar.",pct
Household Socio-Economic Surveys,Household Survey Indicators,demography,demografia,miembro6y16_ch,"
Percentage of households with at least one member aged 6-16",Porcentaje de hogares con al menos un miembro de 6-16 años,Percentage of households with at least one child between 6 and 16 years. This indicator only considers household members.,Porcentaje de hogares con al menos un niño entre los 6 y 16 años de edad. Este indicador sólo considera a los miembros del hogar.,pct
Household Socio-Economic Surveys,Household Survey Indicators,demography,demografia,miembro65_ch,"
Percentage of households with at least one member of 65 year of age older",Porcentaje de hogares con al menos un miembro de 65 años de edad o más,Percentage of households with at least one person 65 years of age or older. This indicator only considers household members.,Porcentaje de hogares con al menos una persona de 65 años de edad o más. Este indicador sólo considera a los miembros del hogar.,pct
